Averaging and calculating the power spectrum...
px[117] = 0.015770; pe[117] = 0.000415
px[118] = 0.016139; pe[118] = 0.000589
px[119] = 0.017243; pe[119] = 0.000544
px[120] = 0.015188; pe[120] = 0.000371
px[121] = 0.014079; pe[121] = 0.000306
px[122] = 0.013944; pe[122] = 0.000416
px[123] = 0.013583; pe[123] = 0.000341
px[124] = 0.013428; pe[124] = 0.000356
px[125] = 0.011912; pe[125] = 0.000241
px[126] = 0.011673; pe[126] = 0.000236
px[127] = 0.011802; pe[127] = 0.000159
px[128] = 0.012218; pe[128] = 0.000192
px[129] = 0.011723; pe[129] = 0.000236
px[130] = 0.011406; pe[130] = 0.000266
px[131] = 0.011092; pe[131] = 0.000186
px[132] = 0.011238; pe[132] = 0.000210
px[133] = 0.011279; pe[133] = 0.000231
px[134] = 0.010915; pe[134] = 0.000227
px[135] = 0.010200; pe[135] = 0.000249
px[136] = 0.009761; pe[136] = 0.000293
px[137] = 0.009603; pe[137] = 0.000228
px[138] = 0.009305; pe[138] = 0.000215
px[139] = 0.008920; pe[139] = 0.000204
px[140] = 0.008482; pe[140] = 0.000205
px[141] = 0.008939; pe[141] = 0.000194
px[142] = 0.008560; pe[142] = 0.000234
px[143] = 0.008171; pe[143] = 0.000226
px[144] = 0.007821; pe[144] = 0.000257
px[145] = 0.008125; pe[145] = 0.000193
px[146] = 0.007717; pe[146] = 0.000243
px[147] = 0.007139; pe[147] = 0.000204
px[148] = 0.007187; pe[148] = 0.000150
px[149] = 0.007231; pe[149] = 0.000184
px[150] = 0.006617; pe[150] = 0.000173
px[151] = 0.006889; pe[151] = 0.000142
px[152] = 0.007356; pe[152] = 0.000182
px[153] = 0.006627; pe[153] = 0.000210
px[154] = 0.006227; pe[154] = 0.000200
px[155] = 0.006408; pe[155] = 0.000110
px[156] = 0.006185; pe[156] = 0.000135
px[157] = 0.006348; pe[157] = 0.000116
px[158] = 0.006498; pe[158] = 0.000142
px[159] = 0.006341; pe[159] = 0.000114
px[160] = 0.006049; pe[160] = 0.000068
px[161] = 0.005769; pe[161] = 0.000096
px[162] = 0.005535; pe[162] = 0.000116
px[163] = 0.005834; pe[163] = 0.000174
px[164] = 0.005760; pe[164] = 0.000121
px[165] = 0.005049; pe[165] = 0.000076
px[166] = 0.005293; pe[166] = 0.000105
px[167] = 0.005387; pe[167] = 0.000142
px[168] = 0.005417; pe[168] = 0.000206
px[169] = 0.005132; pe[169] = 0.000171
px[170] = 0.005045; pe[170] = 0.000102
px[171] = 0.004976; pe[171] = 0.000073
px[172] = 0.004884; pe[172] = 0.000093
px[173] = 0.004680; pe[173] = 0.000081
px[174] = 0.004655; pe[174] = 0.000109
px[175] = 0.005051; pe[175] = 0.000122
px[176] = 0.004648; pe[176] = 0.000071
px[177] = 0.004357; pe[177] = 0.000093
px[178] = 0.004724; pe[178] = 0.000116
px[179] = 0.004414; pe[179] = 0.000110
px[180] = 0.004259; pe[180] = 0.000091
px[181] = 0.004246; pe[181] = 0.000099
px[182] = 0.004245; pe[182] = 0.000138
px[183] = 0.004107; pe[183] = 0.000099
px[184] = 0.004076; pe[184] = 0.000082
px[185] = 0.004138; pe[185] = 0.000097
px[186] = 0.004098; pe[186] = 0.000068
px[187] = 0.003947; pe[187] = 0.000070
px[188] = 0.003984; pe[188] = 0.000070
px[189] = 0.004152; pe[189] = 0.000083
px[190] = 0.003978; pe[190] = 0.000106
px[191] = 0.003906; pe[191] = 0.000099
px[192] = 0.003910; pe[192] = 0.000120
px[193] = 0.003852; pe[193] = 0.000079
px[194] = 0.003647; pe[194] = 0.000061
px[195] = 0.003570; pe[195] = 0.000109
px[196] = 0.003716; pe[196] = 0.000064
px[197] = 0.003683; pe[197] = 0.000065
px[198] = 0.003741; pe[198] = 0.000055
px[199] = 0.003583; pe[199] = 0.000091
px[200] = 0.003556; pe[200] = 0.000109
px[201] = 0.003538; pe[201] = 0.000082
px[202] = 0.003605; pe[202] = 0.000085
px[203] = 0.003604; pe[203] = 0.000101
px[204] = 0.003620; pe[204] = 0.000103
px[205] = 0.003329; pe[205] = 0.000081
px[206] = 0.003329; pe[206] = 0.000065
px[207] = 0.003387; pe[207] = 0.000062
px[208] = 0.003459; pe[208] = 0.000059
px[209] = 0.003382; pe[209] = 0.000103
px[210] = 0.003368; pe[210] = 0.000107
px[211] = 0.003217; pe[211] = 0.000050
px[212] = 0.003148; pe[212] = 0.000054
px[213] = 0.003381; pe[213] = 0.000053
px[214] = 0.003442; pe[214] = 0.000111
px[215] = 0.003168; pe[215] = 0.000097
px[216] = 0.003396; pe[216] = 0.000086
px[217] = 0.003311; pe[217] = 0.000111
px[218] = 0.003294; pe[218] = 0.000098
px[219] = 0.003104; pe[219] = 0.000087
px[220] = 0.003075; pe[220] = 0.000057
px[221] = 0.003040; pe[221] = 0.000053
px[222] = 0.003139; pe[222] = 0.000072
px[223] = 0.002965; pe[223] = 0.000068
px[224] = 0.003016; pe[224] = 0.000062
px[225] = 0.002854; pe[225] = 0.000064
px[226] = 0.003092; pe[226] = 0.000055
px[227] = 0.003303; pe[227] = 0.000070
px[228] = 0.003163; pe[228] = 0.000111
px[229] = 0.002998; pe[229] = 0.000070
px[230] = 0.002943; pe[230] = 0.000067
px[231] = 0.002990; pe[231] = 0.000075
px[232] = 0.002903; pe[232] = 0.000077
px[233] = 0.003106; pe[233] = 0.000068
px[234] = 0.002978; pe[234] = 0.000074
px[235] = 0.002895; pe[235] = 0.000096
px[236] = 0.002854; pe[236] = 0.000071
px[237] = 0.002944; pe[237] = 0.000061
px[238] = 0.002936; pe[238] = 0.000047
px[239] = 0.003015; pe[239] = 0.000046
px[240] = 0.002992; pe[240] = 0.000047
px[241] = 0.002771; pe[241] = 0.000071
px[242] = 0.002829; pe[242] = 0.000077
px[243] = 0.002831; pe[243] = 0.000082
px[244] = 0.002745; pe[244] = 0.000077
px[245] = 0.002849; pe[245] = 0.000058
px[246] = 0.002907; pe[246] = 0.000053
px[247] = 0.002798; pe[247] = 0.000056
px[248] = 0.002955; pe[248] = 0.000057
px[249] = 0.002990; pe[249] = 0.000077
px[250] = 0.002948; pe[250] = 0.000049
px[251] = 0.002873; pe[251] = 0.000042
px[252] = 0.002884; pe[252] = 0.000036
px[253] = 0.002747; pe[253] = 0.000041
px[254] = 0.002880; pe[254] = 0.000034
px[255] = 0.002688; pe[255] = 0.000069
px[256] = 0.005969; pe[256] = 0.000126

px[0] = 2.192369; pe[0] = 0.039148
px[1] = 4.277813; pe[1] = 0.113923
px[2] = 4.360867; pe[2] = 0.153064
px[3] = 4.493354; pe[3] = 0.113029
px[4] = 4.733631; pe[4] = 0.087406
px[5] = 4.946334; pe[5] = 0.066607
px[6] = 5.184727; pe[6] = 0.108318
px[7] = 5.662440; pe[7] = 0.179336
px[8] = 5.679632; pe[8] = 0.133627
px[9] = 5.815865; pe[9] = 0.136320
px[10] = 6.392742; pe[10] = 0.164029
px[11] = 6.721550; pe[11] = 0.119550
px[12] = 7.319685; pe[12] = 0.117107
px[13] = 8.398041; pe[13] = 0.236283
px[14] = 9.308848; pe[14] = 0.255804
px[15] = 10.826746; pe[15] = 0.245419
px[16] = 12.252549; pe[16] = 0.400560
px[17] = 14.613162; pe[17] = 0.278725
px[18] = 17.136484; pe[18] = 0.284178
px[19] = 21.772171; pe[19] = 0.439244
px[20] = 27.956131; pe[20] = 0.551509
px[21] = 38.596382; pe[21] = 0.732050
px[22] = 55.064888; pe[22] = 1.724920
px[23] = 83.229485; pe[23] = 2.397329
px[24] = 154.601212; pe[24] = 3.829105
px[25] = 256.145782; pe[25] = 9.393914
px[26] = 257.045319; pe[26] = 10.239058
px[27] = 157.440201; pe[27] = 5.775163
px[28] = 85.536545; pe[28] = 2.718717
px[29] = 50.093246; pe[29] = 1.169351
px[30] = 29.847399; pe[30] = 0.570759
px[31] = 21.143551; pe[31] = 0.484983
px[32] = 13.935095; pe[32] = 0.382339
px[33] = 10.808045; pe[33] = 0.368147
px[34] = 8.399846; pe[34] = 0.164662
px[35] = 6.020590; pe[35] = 0.158817
px[36] = 4.873837; pe[36] = 0.113302
px[37] = 3.962607; pe[37] = 0.086832
px[38] = 3.109395; pe[38] = 0.082522
px[39] = 2.646889; pe[39] = 0.058274
px[40] = 2.273348; pe[40] = 0.067827
px[41] = 1.838929; pe[41] = 0.057872
px[42] = 1.620545; pe[42] = 0.053233
px[43] = 1.461467; pe[43] = 0.035416
px[44] = 1.327683; pe[44] = 0.021926
px[45] = 1.154391; pe[45] = 0.020946
px[46] = 0.995084; pe[46] = 0.023081
px[47] = 0.891001; pe[47] = 0.021982
px[48] = 0.747025; pe[48] = 0.021000
px[49] = 0.643443; pe[49] = 0.014998
px[50] = 0.619389; pe[50] = 0.013513
px[51] = 0.565947; pe[51] = 0.013551
px[52] = 0.496036; pe[52] = 0.008385
px[53] = 0.464523; pe[53] = 0.009549
px[54] = 0.433518; pe[54] = 0.009591
px[55] = 0.364198; pe[55] = 0.007193
px[56] = 0.341346; pe[56] = 0.008095
px[57] = 0.325223; pe[57] = 0.009406
px[58] = 0.302106; pe[58] = 0.005584
px[59] = 0.264137; pe[59] = 0.004264
px[60] = 0.253278; pe[60] = 0.004674
px[61] = 0.228343; pe[61] = 0.004093
px[62] = 0.220862; pe[62] = 0.005868
px[63] = 0.215287; pe[63] = 0.004067
px[64] = 0.189324; pe[64] = 0.004211
px[65] = 0.176192; pe[65] = 0.002859
px[66] = 0.158048; pe[66] = 0.003797
px[67] = 0.145251; pe[67] = 0.003770
px[68] = 0.143877; pe[68] = 0.002785
px[69] = 0.134255; pe[69] = 0.002168
px[70] = 0.125286; pe[70] = 0.002681
px[71] = 0.113409; pe[71] = 0.001800
px[72] = 0.104495; pe[72] = 0.002247
px[73] = 0.101147; pe[73] = 0.002343
px[74] = 0.099094; pe[74] = 0.001806
px[75] = 0.088601; pe[75] = 0.002132
px[76] = 0.087389; pe[76] = 0.003048
px[77] = 0.085484; pe[77] = 0.002954
px[78] = 0.076583; pe[78] = 0.001820
px[79] = 0.077407; pe[79] = 0.001985
px[80] = 0.075293; pe[80] = 0.001801
px[81] = 0.072013; pe[81] = 0.001562
px[82] = 0.065532; pe[82] = 0.001826
px[83] = 0.060890; pe[83] = 0.001427
px[84] = 0.058069; pe[84] = 0.001712
px[85] = 0.054173; pe[85] = 0.001228
px[86] = 0.052000; pe[86] = 0.001467
px[87] = 0.048363; pe[87] = 0.001456
px[88] = 0.047472; pe[88] = 0.001491
px[89] = 0.045111; pe[89] = 0.001222
px[90] = 0.043092; pe[90] = 0.001052
px[91] = 0.040321; pe[91] = 0.000611
px[92] = 0.038541; pe[92] = 0.000755
px[93] = 0.038140; pe[93] = 0.001086
px[94] = 0.035755; pe[94] = 0.000973
px[95] = 0.035936; pe[95] = 0.000713
px[96] = 0.033631; pe[96] = 0.000776
px[97] = 0.032995; pe[97] = 0.000700
px[98] = 0.031654; pe[98] = 0.000830
px[99] = 0.030549; pe[99] = 0.000626
px[100] = 0.029060; pe[100] = 0.000439
px[101] = 0.026561; pe[101] = 0.000444
px[102] = 0.026025; pe[102] = 0.000668
px[103] = 0.025500; pe[103] = 0.000459
px[104] = 0.024674; pe[104] = 0.000443
px[105] = 0.025411; pe[105] = 0.000669
px[106] = 0.024363; pe[106] = 0.000764
px[107] = 0.022896; pe[107] = 0.000700
px[108] = 0.020857; pe[108] = 0.000488
px[109] = 0.019927; pe[109] = 0.000447
px[110] = 0.019791; pe[110] = 0.000704
px[111] = 0.019753; pe[111] = 0.000630
px[112] = 0.019721; pe[112] = 0.000441
px[113] = 0.018619; pe[113] = 0.000642
px[114] = 0.018647; pe[114] = 0.000403
px[115] = 0.017748; pe[115] = 0.000413
px[116] = 0.016487; pe[116] = 0.000412
px[117] = 0.016104; pe[117] = 0.000334
px[118] = 0.016371; pe[118] = 0.000232
px[119] = 0.017463; pe[119] = 0.000220
px[120] = 0.015422; pe[120] = 0.000233
px[121] = 0.014384; pe[121] = 0.000305
px[122] = 0.014345; pe[122] = 0.000401
px[123] = 0.013905; pe[123] = 0.000323
px[124] = 0.013764; pe[124] = 0.000336
px[125] = 0.012199; pe[125] = 0.000288
px[126] = 0.011921; pe[126] = 0.000248
px[127] = 0.012029; pe[127] = 0.000227
px[128] = 0.012441; pe[128] = 0.000223
px[129] = 0.011879; pe[129] = 0.000157
px[130] = 0.011698; pe[130] = 0.000292
px[131] = 0.011482; pe[131] = 0.000389
px[132] = 0.011532; pe[132] = 0.000294
px[133] = 0.011464; pe[133] = 0.000185
px[134] = 0.011086; pe[134] = 0.000171
px[135] = 0.010321; pe[135] = 0.000121
px[136] = 0.010009; pe[136] = 0.000248
px[137] = 0.009856; pe[137] = 0.000253
px[138] = 0.009541; pe[138] = 0.000237
px[139] = 0.009199; pe[139] = 0.000279
px[140] = 0.008697; pe[140] = 0.000214
px[141] = 0.009172; pe[141] = 0.000233
px[142] = 0.008716; pe[142] = 0.000155
px[143] = 0.008343; pe[143] = 0.000172
px[144] = 0.008028; pe[144] = 0.000206
px[145] = 0.008310; pe[145] = 0.000185
px[146] = 0.007845; pe[146] = 0.000128
px[147] = 0.007303; pe[147] = 0.000164
px[148] = 0.007342; pe[148] = 0.000154
px[149] = 0.007324; pe[149] = 0.000092
px[150] = 0.006775; pe[150] = 0.000158
px[151] = 0.007049; pe[151] = 0.000160
px[152] = 0.007603; pe[152] = 0.000247
px[153] = 0.006823; pe[153] = 0.000196
px[154] = 0.006472; pe[154] = 0.000244
px[155] = 0.006570; pe[155] = 0.000162
px[156] = 0.006342; pe[156] = 0.000157
px[157] = 0.006527; pe[157] = 0.000179
px[158] = 0.006599; pe[158] = 0.000101
px[159] = 0.006440; pe[159] = 0.000099
px[160] = 0.006177; pe[160] = 0.000128
px[161] = 0.005911; pe[161] = 0.000142
px[162] = 0.005721; pe[162] = 0.000186
px[163] = 0.006035; pe[163] = 0.000201
px[164] = 0.005905; pe[164] = 0.000146
px[165] = 0.005136; pe[165] = 0.000087
px[166] = 0.005408; pe[166] = 0.000115
px[167] = 0.005500; pe[167] = 0.000113
px[168] = 0.005623; pe[168] = 0.000205
px[169] = 0.005331; pe[169] = 0.000198
px[170] = 0.005219; pe[170] = 0.000173
px[171] = 0.005105; pe[171] = 0.000129
px[172] = 0.005016; pe[172] = 0.000133
px[173] = 0.004824; pe[173] = 0.000145
px[174] = 0.004763; pe[174] = 0.000108
px[175] = 0.005188; pe[175] = 0.000137
px[176] = 0.004799; pe[176] = 0.000151
px[177] = 0.004487; pe[177] = 0.000129
px[178] = 0.004849; pe[178] = 0.000125
px[179] = 0.004548; pe[179] = 0.000134
px[180] = 0.004385; pe[180] = 0.000126
px[181] = 0.004401; pe[181] = 0.000155
px[182] = 0.004354; pe[182] = 0.000109
px[183] = 0.004204; pe[183] = 0.000097
px[184] = 0.004191; pe[184] = 0.000115
px[185] = 0.004237; pe[185] = 0.000099
px[186] = 0.004189; pe[186] = 0.000090
px[187] = 0.004046; pe[187] = 0.000099
px[188] = 0.004092; pe[188] = 0.000109
px[189] = 0.004292; pe[189] = 0.000140
px[190] = 0.004119; pe[190] = 0.000141
px[191] = 0.003996; pe[191] = 0.000090
px[192] = 0.003977; pe[192] = 0.000066
px[193] = 0.003904; pe[193] = 0.000052
px[194] = 0.003737; pe[194] = 0.000091
px[195] = 0.003659; pe[195] = 0.000089
px[196] = 0.003783; pe[196] = 0.000067
px[197] = 0.003770; pe[197] = 0.000087
px[198] = 0.003816; pe[198] = 0.000075
px[199] = 0.003670; pe[199] = 0.000087
px[200] = 0.003657; pe[200] = 0.000101
px[201] = 0.003603; pe[201] = 0.000065
px[202] = 0.003689; pe[202] = 0.000084
px[203] = 0.003666; pe[203] = 0.000062
px[204] = 0.003687; pe[204] = 0.000066
px[205] = 0.003406; pe[205] = 0.000077
px[206] = 0.003406; pe[206] = 0.000077
px[207] = 0.003512; pe[207] = 0.000125
px[208] = 0.003553; pe[208] = 0.000095
px[209] = 0.003434; pe[209] = 0.000052
px[210] = 0.003402; pe[210] = 0.000034
px[211] = 0.003293; pe[211] = 0.000076
px[212] = 0.003224; pe[212] = 0.000076
px[213] = 0.003443; pe[213] = 0.000062
px[214] = 0.003512; pe[214] = 0.000070
px[215] = 0.003262; pe[215] = 0.000094
px[216] = 0.003470; pe[216] = 0.000074
px[217] = 0.003400; pe[217] = 0.000090
px[218] = 0.003371; pe[218] = 0.000077
px[219] = 0.003183; pe[219] = 0.000079
px[220] = 0.003176; pe[220] = 0.000101
px[221] = 0.003131; pe[221] = 0.000091
px[222] = 0.003207; pe[222] = 0.000068
px[223] = 0.003046; pe[223] = 0.000080
px[224] = 0.003097; pe[224] = 0.000081
px[225] = 0.002963; pe[225] = 0.000110
px[226] = 0.003192; pe[226] = 0.000100
px[227] = 0.003383; pe[227] = 0.000080
px[228] = 0.003242; pe[228] = 0.000079
px[229] = 0.003054; pe[229] = 0.000056
px[230] = 0.003023; pe[230] = 0.000081
px[231] = 0.003051; pe[231] = 0.000061
px[232] = 0.002949; pe[232] = 0.000045
px[233] = 0.003155; pe[233] = 0.000049
px[234] = 0.003028; pe[234] = 0.000051
px[235] = 0.002975; pe[235] = 0.000079
px[236] = 0.002919; pe[236] = 0.000065
px[237] = 0.002998; pe[237] = 0.000054
px[238] = 0.003004; pe[238] = 0.000068
px[239] = 0.003078; pe[239] = 0.000063
px[240] = 0.003073; pe[240] = 0.000081
px[241] = 0.002883; pe[241] = 0.000112
px[242] = 0.002913; pe[242] = 0.000084
px[243] = 0.002863; pe[243] = 0.000033
px[244] = 0.002795; pe[244] = 0.000051
px[245] = 0.002920; pe[245] = 0.000071
px[246] = 0.002999; pe[246] = 0.000092
px[247] = 0.002884; pe[247] = 0.000086
px[248] = 0.003029; pe[248] = 0.000075
px[249] = 0.003036; pe[249] = 0.000045
px[250] = 0.003001; pe[250] = 0.000054
px[251] = 0.002952; pe[251] = 0.000079
px[252] = 0.002965; pe[252] = 0.000082
px[253] = 0.002822; pe[253] = 0.000075
px[254] = 0.002971; pe[254] = 0.000091
px[255] = 0.002755; pe[255] = 0.000067
px[256] = 0.006072; pe[256] = 0.000102

px[0] = 2.270429; pe[0] = 0.078060
px[1] = 4.416569; pe[1] = 0.138756
px[2] = 4.472894; pe[2] = 0.112026
px[3] = 4.597068; pe[3] = 0.103714
px[4] = 4.881504; pe[4] = 0.147873
px[5] = 5.066230; pe[5] = 0.119896
px[6] = 5.293368; pe[6] = 0.108641
px[7] = 5.793540; pe[7] = 0.131100
px[8] = 5.839920; pe[8] = 0.160288
px[9] = 5.928986; pe[9] = 0.113121
px[10] = 6.516445; pe[10] = 0.123702
px[11] = 6.855419; pe[11] = 0.133870
px[12] = 7.495096; pe[12] = 0.175412
px[13] = 8.651403; pe[13] = 0.253363
px[14] = 9.511435; pe[14] = 0.202586
px[15] = 11.014912; pe[15] = 0.188166
px[16] = 12.539174; pe[16] = 0.286625
px[17] = 14.963090; pe[17] = 0.349928
px[18] = 17.644306; pe[18] = 0.507823
px[19] = 22.338371; pe[19] = 0.566200
px[20] = 28.857012; pe[20] = 0.900881
px[21] = 39.322742; pe[21] = 0.726358
px[22] = 55.984215; pe[22] = 0.919325
px[23] = 84.464767; pe[23] = 1.235285
px[24] = 157.650604; pe[24] = 3.049397
px[25] = 261.109406; pe[25] = 4.963617
px[26] = 262.376007; pe[26] = 5.330703
px[27] = 162.230057; pe[27] = 4.789852
px[28] = 88.205330; pe[28] = 2.668786
px[29] = 51.590046; pe[29] = 1.496798
px[30] = 30.522879; pe[30] = 0.675480
px[31] = 21.474779; pe[31] = 0.331227
px[32] = 14.271557; pe[32] = 0.336462
px[33] = 11.075873; pe[33] = 0.267828
px[34] = 8.635455; pe[34] = 0.235609
px[35] = 6.154636; pe[35] = 0.134046
px[36] = 4.986255; pe[36] = 0.112418
px[37] = 4.030387; pe[37] = 0.067779
px[38] = 3.165313; pe[38] = 0.055918
px[39] = 2.720136; pe[39] = 0.073247
px[40] = 2.332182; pe[40] = 0.058835
px[41] = 1.874349; pe[41] = 0.035420
px[42] = 1.653907; pe[42] = 0.033363
px[43] = 1.495836; pe[43] = 0.034369
px[44] = 1.357675; pe[44] = 0.029992
px[45] = 1.189713; pe[45] = 0.035323
px[46] = 1.028217; pe[46] = 0.033132
px[47] = 0.911493; pe[47] = 0.020492
px[48] = 0.763866; pe[48] = 0.016841
px[49] = 0.663475; pe[49] = 0.020032
px[50] = 0.633285; pe[50] = 0.013896
px[51] = 0.578975; pe[51] = 0.013028
px[52] = 0.510670; pe[52] = 0.014634
px[53] = 0.478765; pe[53] = 0.014243
px[54] = 0.447739; pe[54] = 0.014220
px[55] = 0.374066; pe[55] = 0.009868
px[56] = 0.348618; pe[56] = 0.007272
px[57] = 0.334129; pe[57] = 0.008907
px[58] = 0.307278; pe[58] = 0.005172
px[59] = 0.268364; pe[59] = 0.004227
px[60] = 0.258543; pe[60] = 0.005265
px[61] = 0.234369; pe[61] = 0.006026
px[62] = 0.225543; pe[62] = 0.004681
px[63] = 0.220563; pe[63] = 0.005275
px[64] = 0.194173; pe[64] = 0.004849
px[65] = 0.179081; pe[65] = 0.002889
px[66] = 0.161671; pe[66] = 0.003623
px[67] = 0.149133; pe[67] = 0.003882
px[68] = 0.145711; pe[68] = 0.001834
px[69] = 0.136436; pe[69] = 0.002181
px[70] = 0.128097; pe[70] = 0.002811
px[71] = 0.116569; pe[71] = 0.003161
px[72] = 0.107618; pe[72] = 0.003124
px[73] = 0.102978; pe[73] = 0.001831
px[74] = 0.100613; pe[74] = 0.001520
px[75] = 0.091055; pe[75] = 0.002453
px[76] = 0.089541; pe[76] = 0.002152
px[77] = 0.086799; pe[77] = 0.001315
px[78] = 0.077887; pe[78] = 0.001303
px[79] = 0.079108; pe[79] = 0.001700
px[80] = 0.076665; pe[80] = 0.001372
px[81] = 0.073298; pe[81] = 0.001285
px[82] = 0.066783; pe[82] = 0.001251
px[83] = 0.062177; pe[83] = 0.001287
px[84] = 0.059302; pe[84] = 0.001233
px[85] = 0.055787; pe[85] = 0.001614
px[86] = 0.053409; pe[86] = 0.001408
px[87] = 0.050010; pe[87] = 0.001648
px[88] = 0.048704; pe[88] = 0.001232
px[89] = 0.046228; pe[89] = 0.001117
px[90] = 0.044369; pe[90] = 0.001278
px[91] = 0.041330; pe[91] = 0.001009
px[92] = 0.039326; pe[92] = 0.000784
px[93] = 0.038925; pe[93] = 0.000785
px[94] = 0.036587; pe[94] = 0.000832
px[95] = 0.037039; pe[95] = 0.001103
px[96] = 0.034543; pe[96] = 0.000912
px[97] = 0.033588; pe[97] = 0.000593
px[98] = 0.032128; pe[98] = 0.000474
px[99] = 0.031320; pe[99] = 0.000772
px[100] = 0.029788; pe[100] = 0.000728
px[101] = 0.027080; pe[101] = 0.000520
px[102] = 0.026581; pe[102] = 0.000556
px[103] = 0.026077; pe[103] = 0.000576
px[104] = 0.025290; pe[104] = 0.000615
px[105] = 0.025914; pe[105] = 0.000503
px[106] = 0.024954; pe[106] = 0.000591
px[107] = 0.023273; pe[107] = 0.000377
px[108] = 0.021419; pe[108] = 0.000561
px[109] = 0.020534; pe[109] = 0.000608
px[110] = 0.020309; pe[110] = 0.000518
px[111] = 0.020137; pe[111] = 0.000384
px[112] = 0.020118; pe[112] = 0.000398
px[113] = 0.018958; pe[113] = 0.000339
px[114] = 0.019083; pe[114] = 0.000435
px[115] = 0.018078; pe[115] = 0.000330
px[116] = 0.017220; pe[116] = 0.000733
px[117] = 0.016557; pe[117] = 0.000453
px[118] = 0.016605; pe[118] = 0.000234
px[119] = 0.017723; pe[119] = 0.000260
px[120] = 0.015800; pe[120] = 0.000379
px[121] = 0.014739; pe[121] = 0.000355
px[122] = 0.014734; pe[122] = 0.000390
px[123] = 0.014227; pe[123] = 0.000322
px[124] = 0.014094; pe[124] = 0.000331
px[125] = 0.012544; pe[125] = 0.000344
px[126] = 0.012199; pe[126] = 0.000279
px[127] = 0.012281; pe[127] = 0.000252
px[128] = 0.012706; pe[128] = 0.000265
px[129] = 0.012213; pe[129] = 0.000334
px[130] = 0.011955; pe[130] = 0.000257
px[131] = 0.011674; pe[131] = 0.000193
px[132] = 0.011761; pe[132] = 0.000230
px[133] = 0.011718; pe[133] = 0.000254
px[134] = 0.011361; pe[134] = 0.000276
px[135] = 0.010638; pe[135] = 0.000317
px[136] = 0.010296; pe[136] = 0.000288
px[137] = 0.009989; pe[137] = 0.000134
px[138] = 0.009710; pe[138] = 0.000168
px[139] = 0.009425; pe[139] = 0.000226
px[140] = 0.008878; pe[140] = 0.000182
px[141] = 0.009291; pe[141] = 0.000118
px[142] = 0.008848; pe[142] = 0.000132
px[143] = 0.008522; pe[143] = 0.000179
px[144] = 0.008223; pe[144] = 0.000196
px[145] = 0.008562; pe[145] = 0.000252
px[146] = 0.008033; pe[146] = 0.000188
px[147] = 0.007478; pe[147] = 0.000175
px[148] = 0.007507; pe[148] = 0.000166
px[149] = 0.007511; pe[149] = 0.000187
px[150] = 0.006917; pe[150] = 0.000142
px[151] = 0.007164; pe[151] = 0.000115
px[152] = 0.007758; pe[152] = 0.000155
px[153] = 0.007000; pe[153] = 0.000178
px[154] = 0.006596; pe[154] = 0.000124
px[155] = 0.006706; pe[155] = 0.000137
px[156] = 0.006505; pe[156] = 0.000163
px[157] = 0.006685; pe[157] = 0.000157
px[158] = 0.006731; pe[158] = 0.000132
px[159] = 0.006599; pe[159] = 0.000160
px[160] = 0.006347; pe[160] = 0.000170
px[161] = 0.006018; pe[161] = 0.000107
px[162] = 0.005861; pe[162] = 0.000140
px[163] = 0.006167; pe[163] = 0.000132
px[164] = 0.006000; pe[164] = 0.000095
px[165] = 0.005224; pe[165] = 0.000088
px[166] = 0.005541; pe[166] = 0.000133
px[167] = 0.005682; pe[167] = 0.000181
px[168] = 0.005755; pe[168] = 0.000133
px[169] = 0.005450; pe[169] = 0.000119
px[170] = 0.005321; pe[170] = 0.000102
px[171] = 0.005225; pe[171] = 0.000120
px[172] = 0.005143; pe[172] = 0.000126
px[173] = 0.004878; pe[173] = 0.000053
px[174] = 0.004856; pe[174] = 0.000092
px[175] = 0.005287; pe[175] = 0.000099
px[176] = 0.004873; pe[176] = 0.000074
px[177] = 0.004581; pe[177] = 0.000094
px[178] = 0.004962; pe[178] = 0.000113
px[179] = 0.004641; pe[179] = 0.000093
px[180] = 0.004478; pe[180] = 0.000093
px[181] = 0.004490; pe[181] = 0.000089
px[182] = 0.004488; pe[182] = 0.000134
px[183] = 0.004342; pe[183] = 0.000138
px[184] = 0.004262; pe[184] = 0.000072
px[185] = 0.004292; pe[185] = 0.000055
px[186] = 0.004269; pe[186] = 0.000080
px[187] = 0.004143; pe[187] = 0.000097
px[188] = 0.004190; pe[188] = 0.000097
px[189] = 0.004396; pe[189] = 0.000104
px[190] = 0.004232; pe[190] = 0.000113
px[191] = 0.004103; pe[191] = 0.000107
px[192] = 0.004067; pe[192] = 0.000090
px[193] = 0.003985; pe[193] = 0.000081
px[194] = 0.003826; pe[194] = 0.000088
px[195] = 0.003749; pe[195] = 0.000090
px[196] = 0.003897; pe[196] = 0.000114
px[197] = 0.003844; pe[197] = 0.000074
px[198] = 0.003885; pe[198] = 0.000068
px[199] = 0.003764; pe[199] = 0.000094
px[200] = 0.003736; pe[200] = 0.000079
px[201] = 0.003666; pe[201] = 0.000063
px[202] = 0.003770; pe[202] = 0.000081
px[203] = 0.003760; pe[203] = 0.000094
px[204] = 0.003769; pe[204] = 0.000082
px[205] = 0.003507; pe[205] = 0.000101
px[206] = 0.003482; pe[206] = 0.000076
px[207] = 0.003581; pe[207] = 0.000070
px[208] = 0.003631; pe[208] = 0.000078
px[209] = 0.003492; pe[209] = 0.000059
